filename	keywords
/elias_abberley_delightful.html	Elias Abberley, Elias T. Abberley,  Elias T Abberley, 19th and early 20th century, American, 19th century artist, Delightful Find, Oil on canvas, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
/james_l_adams_boulders.html	James L Adams, 1847-1901, British, 18th century artist, Boulders along an English Stream, Oil on canvas, landscape painting, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
/stephen_alke_august.html	Stephen Alke, 1874-1941, American, 19th century artist, August Hay Bales, Oil on Canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
/william_henry_ahrendt_canyon.html	William Henry Ahrendt, 1933, American, 19th century artist, The Grand Canyon (after Thomas Moran), Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
0263.html	Jonas Joseph LaValley, J.J. LaValley, 1858 - 1930, American, 19th century artist, Roses in a Glass Vase, 1872, 1872 painting, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
1617.html	David John Gue, 1836 - 1917, American, 19th century artist, Breakers at Dawn, Oil on canvas, marine, marine artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
3909.html	john wells smith, british 19th century artist, pleasant anticipations, 1882 painting, oil on canvas, 19th century fine art
3919.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still Life with Grapes and Peaches, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
3923.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Basket of Peaches and Grapes on a Table, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
3930.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still Life with Grapes and Peaches, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
3935.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still Life of Grapes and Apples, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
